X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64
Maryland,,No,African American/Black,No,Heterosexual,Man,No,No,Christian,"$300,000 - $499,999",No,No,No,Public,2,7,My school did not offer,My school did not offer,"Advocacy, Community Service, Speech and Debate, Student Government","Yes, in high school but not in college",Research,Regular Decision,20,"University of Maryland, Emory University, Wake Forest, Claremont Mckenna, Notre Dame, Boston College, WashU (in St. Louis), Middlebury, Wesleyan, Trinity College",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it",No,1330,,"Yes, standardized testing (ACT/SAT) tutoring","Cost, Brand name/rankings, Student Life",Commodore Launch,College of Arts of Science,No,Political Science,"Yes, as a pre-law student",East,Hank Ingram,"Yes, more than half the cost of attendance","Yes, covers full tuition",$0 ,Not sure,5,6,2,4,2,7,4,2,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
California,,No,White/Caucasian,No,Heterosexual,Man,No,No,"None (Atheist, Agnostic, etc.)","$500,000 - $749,999",No,No,Yes,Public,8,My school did not offer,3,1,"Athletics, Community Service, Family Responsibilities, Religious group, Student Government, Paid work","Yes, in both high school and college","Writing, Research, Math",EDI,6,I withdrew my apps,Vanderbilt was my first choice,"Yes, but I did not submit it",No,1390,,No,"Location, School size, Campus",Campus tour,School of Engineering,No,Environmental Engineering,No,West,West,No,No,"$15,000 - $19,999","Yes, I plan to participate in IFC recruitment",5,5,5,4,3,4,4,4,6,1,I am registered to vote but do not vote,I do not intend to vote,2-4 hours,"News websites/apps, Podcasts, Instagram, Emailed newsletter ",Once a week,Once a week,Never,Never,None,No,N/A (I have never owned a fake ID)
California,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,Yes,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Public,6,1,1,1,"Advocacy, Community Service, Cultural and Affinity Clubs, Student Government","Yes, in both high school and college","Writing, Research",Regular Decision off the waitlist,18,"UC San Diego, UC Santa Barbara, UC Davis, San Diego State, Cal State Long Beach, Cal Poly Pomona, Chapman",Vanderbilt was my first choice,"Yes, but I did not submit it",No,1490,,No,"Cost, Academics, Student Life",None,Peabody College of Education and Human Development,No,Child Development,"Yes, on another pre-professional track",Crawford,Crawford,"Yes, full cost of attendence",No,$0 ,Not sure,2,4,2,4,6,4,4,7,7,4,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Instagram, TikTok, X (formerly Twitter)",Never,Once a week,Never,Never,None,No,N/A (I have never owned a fake ID)
None of the Above,China,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,Yes,"None (Atheist, Agnostic, etc.)","$100,000 - $149,999",No,No,No,Private,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Advocacy, Community Service, Career-oriented internship, Journalism, Student Government","Yes, in both high school and college",Research,EDII,25,,Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1540,,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Academics, Post-grad opportunities, Student Life",None,College of Arts of Science,No,Economics,No,East,Hank Ingram,No,No,$0 ,No,4,3,2,6,7,5,4,5,6,5,I am not eligible to vote,,2-4 hours,"News websites/apps, Podcasts, Television, Instagram",Once a month,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Texas,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,Christian,"$200,000 - $299,999","Yes, sibling(s)",No,No,Public,10+,My school did not offer,My school did not offer,0,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Career-oriented internship, Model UN, Speech and Debate, Student Government","Yes, in high school but not in college","Research, Math",Regular Decision,16,,I did not have a ranking of the schools I applied to,"Yes, and I submitted it","Yes, but I did not submit it",,,No,"Cost, Location, Campus",None,College of Arts of Science,"Yes, Peabody",Political Science,"Yes, as a pre-law student",Gillette,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,Not sure,4,5,6,7,4,3,4,4,4,3,I am not eligible to vote,,2-4 hours,"News websites/apps, Instagram, Youtube",Never,Once a month,Never,Never,None,No,N/A (I have never owned a fake ID)
California,,No,White/Caucasian,No,Heterosexual,Woman,No,Yes,Christian,"Under $50,000","Yes, one parent",No,No,Public,7,My school did not offer,2,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Dance, Family Responsibilities, Student Government",No,,Regular Decision off the waitlist,15,"florida atlantic university, UNR, Lassen college, LSU, Oklahoma state, Montana state, Texas A& M, Clemson, UT dallas texas, East stroudburg university, Auburn",I did not have a ranking of the schools I applied to,"Yes, but I did not submit it",No,,,No,"Cost, Academics, Faculty",None,College of Arts of Science,"Yes, Peabody",Psychology,No,Sutherland,Sutherland,"Yes, full cost of attendence","Yes, covers full tuition",$0 ,"Not sure, No",5,4,2,4,5,4,4,1,4,2,"I am eligible to vote, but am not registered",Prefer not to answer,2-4 hours,"News websites/apps, Podcasts, Facebook, TikTok",Never,Never,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Pennsylvania,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$150,000 - $199,999",No,No,No,Private,8,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Visual Art, Paid work","Yes, in college but not in high school",Math,Regular Decision off the waitlist,19,,Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1540,,"Yes, standardized testing (ACT/SAT) tutoring","Location, Academics, Brand name/rankings",None,School of Engineering,No,Civil Engineering,"Yes, on another pre-professional track",Stambaugh,Stambaugh,"Yes, more than half the cost of attendance",No,"$150,000 - $200,000",Not sure,6,1,1,7,4,1,2,1,2,2,"Yes, in my home state/country",I intend to vote for Donald Trump,6-9 hours,"News websites/apps, Podcasts, Television, Instagram, TikTok, Other social media",Never,Once a semester,Never,Never,None,No,N/A (I have never owned a fake ID)
New Jersey,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$200,000 - $299,999",No,No,No,Public,10+,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Dance, Student Government, Paid work","Yes, in high school but not in college",Writing,Regular Decision,12,,Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,34,"Yes, standardized testing (ACT/SAT) tutoring","Academics, Post-grad opportunities, Campus",Campus tour,Peabody College of Education and Human Development,No,Human and Organizational Development (HOD),No,Stambaugh,Stambaugh,No,No,"$150,000 - $200,000","Yes, I plan to participate in Panhellenic recruitment",2,4,3,4,4,4,4,6,4,4,"Yes, in my home state/country",Prefer not to answer,6-9 hours,"News websites/apps, Television, Instagram, TikTok",Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,None,Prefer not to answer,Prefer not to answer
Texas,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$150,000 - $199,999",No,No,No,Public,10+,My school did not offer,10+,2,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Research","Yes, in high school but not in college",,Regular Decision off the waitlist,20,,Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,,,No,"Cost, Academics, Post-grad opportunities",None,School of Engineering,No,Biomedical Engineering,"Yes, as a pre-med student",Gillette,Stambaugh,"Yes, full cost of attendence",No,I don't know,Not sure,4,5,2,5,4,4,4,4,6,3,I am not eligible to vote,I am not eligible to vote,4-6 hours,Instagram,Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Wisconsin,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,Christian,"$500,000 - $749,999",No,No,No,Public,7,1,My school did not offer,3,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Visual Art, Paid work",No,,Regular Decision,11,"UW-Madison, Northeastern, University of Iowa, St. Olaf, Drake, Notre Dame, Emory ",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,32,"Yes, college counseling","Cost, Academics, Post-grad opportunities",Campus tour,College of Arts of Science,No,Neuroscience,"Yes, on another pre-professional track",East,Sutherland,No,"Yes, covers full tuition",$0 ,Not sure,3,5,3,5,6,4,4,3,6,3,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Iowa,,No,Asian/Pacific Islander,No,Heterosexual,Man,No,No,Hindu,"$300,000 - $499,999",No,No,No,Public,4,My school did not offer,2,3,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Research, Paid work","Yes, in high school but not in college","Writing, Research",Regular Decision,15,"ucla, uc Berkeley, rice, emory, USF, unc chapel hill, ",Vanderbilt was not my first choice but was one of my top choices,"Yes, and I submitted it",No,1560,,"Yes, college counseling","Cost, Academics, Brand name/rankings",Anchor Day (admitted students day),College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",North,North,No,"Yes, covers full tuition",I don't know,Not sure,3,2,2,6,6,6,4,4,6,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,4-6 hours,"News websites/apps, Television, Instagram, TikTok, Youtube",Prefer not to answer,Prefer not to answer,Never,Never,None,Prefer not to answer,N/A (I have never owned a fake ID)
Maryland,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Jewish,"$1,000,000 or more",No,No,No,Public,10+,My school did not offer,10+,My school did not offer,"Athletics, Community Service, Dance, Paid work, Student Teaching","Yes, in high school but not in college",Writing,Regular Decision,11,"University of Pittsburgh, Ohio State University, University of Maryland College Park, University of Wisconsin Madison",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,33,"Yes, standardized testing (ACT/SAT) tutoring, Yes, college counseling","Location, Academics, Student Life","Campus tour, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,Elementary Education,No,Hank Ingram,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",2,5,2,5,7,4,4,7,7,2,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, TikTok, X (formerly Twitter)",Once a month,Once a week,Never,Never,None,No,Georgia
Tennessee,,No,Asian/Pacific Islander,No,Bisexual/pansexual,Nonbinary or gender nonconforming,Yes,No,"None (Atheist, Agnostic, etc.)","$200,000 - $299,999",No,No,No,Private,4,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Athletics, Cultural and Affinity Clubs, Family Responsibilities, Career-oriented internship, Music, Research, Visual Art","Yes, in both high school and college",Explaining or clarifying definitions or concepts discussed in class,Regular Decision,15,,I did not have a ranking of the schools I applied to,"Yes, and I submitted it",No,,,"Yes, college counseling","Academics, Post-grad opportunities, Brand name/rankings","Campus tour, 'Dore For A Day, Anchor Day (admitted students day)",College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",Stambaugh,Stambaugh,"Yes, less than half the cost of attendance","Yes, covers partial tuition","$1-$4,999",Not sure,3,4,3,4,6,5,4,6,5,4,"Yes, in Tennessee",Prefer not to answer,2-4 hours,News websites/apps,Never,Never,Never,Never,Prefer not to answer,Prefer not to answer,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Heterosexual,Woman,No,No,Christian,"$200,000 - $299,999","Yes, extended family",No,No,Public,9,10+,5,0,"Academic Clubs/Competition, Athletics, Community Service, Model UN, Student Government, Paid work",No,,Regular Decision,11,"University of Tennessee, Auburn University, Samford University, SMU, Pepperdine University, Rhodes College",I did not have a ranking of the schools I applied to,No,"Yes, and I submitted it",,35,No,"Cost, Academics, Student Life","Campus tour, 'Dore For A Day, Commodore Launch, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,Elementary Education,No,Murray,Hank Ingram,No,"Yes, covers full tuition",$0 ,"Yes, I plan to participate in Panhellenic recruitment",5,2,2,7,6,6,4,2,5,1,"Yes, in Tennessee",I intend to vote for Donald Trump,2-4 hours,News websites/apps,Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Virginia,,No,Asian/Pacific Islander,No,Heterosexual,Woman,No,No,"None (Atheist, Agnostic, etc.)","$50,000 - $74,999",No,No,No,Public,10+,My school did not offer,6,2,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Paid work","Yes, in high school but not in college","Writing, Coding",Regular Decision off the waitlist,19,"Virginia Commonwealth University, George Mason University, University of Virginia",Vanderbilt was not my first choice but was one of my top choices,"Yes, but I did not submit it",No,1420,,No,"Academics, Post-grad opportunities, Brand name/rankings",Campus tour,College of Arts of Science,No,"Medicine, Health, and Society (MHS)","Yes, as a pre-med student",Gillette,Hank Ingram,"Yes, full cost of attendence","Yes, covers partial tuition",$0 ,No,2,5,1,6,7,4,4,7,7,4,"Yes, in my home state/country",I intend to vote for Kamala Harris,6-9 hours,"News websites/apps, Television, TikTok, Youtube",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
Tennessee,,No,White/Caucasian,No,Bisexual/pansexual,Woman,No,No,Christian,"Under $50,000",No,No,No,Public,0,My school did not offer,10+,4,"Academic Clubs/Competition, Community Service, Music, Theater, Visual Art",No,,EDII,5,"Belmont University, The University of the South, University of Tennessee at Knoxville, Arcadia University",Vanderbilt was my first choice,No,"Yes, but I did not submit it",,30,No,"Cost, Location, Post-grad opportunities",Campus tour,College of Arts of Science,No,English,No,Stambaugh,Stambaugh,"Yes, full cost of attendence",No,$0 ,No,3,1,1,6,5,5,4,3,3,2,"Yes, in Tennessee",I intend to vote for Kamala Harris,2-4 hours,"News websites/apps, Television, Instagram",Never,Never,Never,Never,None,No,N/A (I have never owned a fake ID)
New York,,Yes,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Woman,No,No,grew up in a Jewish/Catholic household,"$750,000 - $999,999","Yes, sibling(s)",No,No,Private,My school did not offer,My school did not offer,5,My school did not offer,"Academic Clubs/Competition, Athletics, Dance, Music, Research","Yes, in both high school and college","Writing, Math",Regular Decision,16,"UCLA, UCSD, UCSB, Georgetown, Wisconsin, UIUC, Boston College",Vanderbilt was not my first choice but was one of my top choices,No,"Yes, and I submitted it",,35,"Yes, standardized testing (ACT/SAT) tutoring","Academics, School size, Student Life",None,College of Arts of Science,No,Mathematics,"Yes, as a pre-med student",Sutherland,Sutherland,No,No,I don't know,"Yes, I plan to participate in Panhellenic recruitment",5,3,5,6,4,3,3,3,5,1,"I am eligible to vote, but am not registered",I do not intend to vote,2-4 hours,"News websites/apps, Instagram, TikTok",Once a month,Once a week,Never,Never,None,No,Connecticut
